spc.508,spc.730,spc.736,spc.808,spc.862,spc.940,spc.1198,spc.1450,spc.1552,spc.1648
31895742,17924080,17816846,17560901,17877118,17456584,16144156,16433407,16383098,16361816
30895299,18489125,18361293,17644577,17494699,16726432,14783106,14298561,13973828,13728292
29604393,16452454,16338784,15695488,15568934,14882134,13238306,12810339,12535600,12305058
29822385,16731527,16602981,15966885,16022219,15360809,13380402,13104943,12812272,12569898
31609104,19327956,19221657,18727667,18765663,18309871,16997756,17101867,16933584,16853877
32451264,18146364,18051168,17988354,18495946,18220439,16249918,16663737,16559313,16562954
34125909,19859232,19747166,19462429,19771763,19369489,17865993,18430747,18415492,18421638
34157881,20248403,20154938,20011176,20354133,19877277,18462697,18947887,19061778,19061818
33766182,19597278,19511352,19423668,19771579,19494792,18413741,18935794,19025149,19080215
34212076,19976292,19889479,19885330,20350459,20181620,18956396,19548482,19657023,19679169
33492143,19488508,19398186,19420677,19925072,19764768,18338045,18999574,19002871,19145301
34654383,20469847,20381304,20407134,20953367,20759875,19538676,20418485,20447630,20502760
36783885,22523264,22423166,22347387,22861687,22646961,21458917,22387732,22338185,22358300
33025585,19669509,19576166,19426042,19874917,19535774,17952901,18537045,18576654,18599652
33222595,18776980,18698028,18697979,19127159,18942481,18085238,18814411,18843358,18898877
30405060,16926070,16812740,16343257,16435068,15872856,14396821,14391272,14195190,14038963
31738834,17942613,17839245,17507592,17699549,17179020,15628860,15748119,15648155,15600342
28719165,16163167,16046610,15462839,15596991,15211961,13535123,13503179,13250979,13032251
35051321,20929778,20846339,20762664,21204977,21131383,20045689,20574124,20658666,20798404
34312087,19829091,19743275,19607161,20033916,19934669,18748548,19312605,19421562,19542706
33319152,18627911,18526606,18324513,18697485,18447483,16823200,17263339,17259089,17366155
33283604,18613120,18522079,18398842,18822226,18636976,17002062,17516354,17528664,17643840
26848257,16701753,16584815,15742689,15567544,15131888,13994849,13837128,13659185,13465684
26195844,14989130,14873944,14173238,14128504,13684788,12157009,11984697,11692194,11503076
31434441,19549666,19429858,18796720,18876970,18506267,17202187,17559145,17254828,17067222
33059936,19424229,19326691,19103861,19516639,19358155,18079342,18504331,18455413,18490084
27772300,15825938,15709988,14956792,14847341,14317102,12865518,12650091,12417158,12178113
28291103,18380652,18258484,17220022,16877013,16253080,14672135,14275966,13916518,13650376
29746987,17927769,17810207,17060366,17011888,16491624,14684862,14355454,14106169,13876689
31178377,18591360,18470534,17784727,17771118,17177084,15102029,14788496,14466073,14238530
29287579,16690384,16558614,15752336,15649907,15040119,13604077,13513382,13318851,13160912
27924162,15575148,15458670,14836251,14841148,14311220,12507077,12280259,11978688,11762649
27058404,15583021,15460692,14673340,14625183,14177375,12569708,12284855,12035047,11793904
33355460,20046324,19946612,19799019,20184443,19946252,18559879,19116523,19080444,19131891
28656736,17270445,17158719,16515195,16518801,16088071,14483153,14223948,13967132,13765928
29783442,18065282,17931648,17036669,16837050,16200386,14505133,14350194,14090012,13887030
31328449,17620454,17488112,16846656,16943546,16451237,14792648,14927542,14544802,14338814
28257872,15824802,15701858,14985776,14875511,14183290,12253809,11871199,11586477,11371872
31633419,17924201,17796525,17116578,17075439,16343989,14085403,13712630,13367837,13056486
32413340,18667683,18550303,18135078,18279151,17654022,15844259,15860423,15688394,15552312
30731401,17983004,17867255,17283189,17235037,16537695,14638521,14247850,13979177,13718621
30709174,17130832,17005644,16373879,16372515,15648166,13586987,13402216,13151027,12939398
29118213,16757199,16638447,15895597,15795340,15084711,12802176,12299818,11997095,11731937
30420106,17991719,17873373,17294757,17334455,16755535,14682683,14468818,14228180,14015726
32233963,18217949,18107466,17747106,17931189,17264325,15523930,15600626,15506867,15397253
30396876,16926686,16805412,16205014,16216698,15588191,13802806,13633515,13462627,13257774
30511034,17301038,17183258,16597189,16580075,15934789,14179636,13961118,13768983,13544871
28612390,15651836,15544846,15058459,15137251,14693973,13378808,13290276,13141480,12986475
31867103,18159783,18052137,17781227,18146631,17789776,16077786,16142017,16001902,15855614
31053862,17149636,17038148,16524185,16557268,15956367,14455692,14263450,14085617,13916890
30468619,17387763,17282098,16764251,16739732,16130070,14543959,14209447,13919110,13688092
32648067,19260902,19137341,18526248,18461373,17724206,15935041,15642422,15377922,15108360
29696560,16552703,16436838,15881523,15886568,15348888,13990997,13846729,13613116,13436413
27602506,15013172,14897719,14227232,14189152,13685568,12497824,12441653,12321439,12173198
30745600,16597767,16499357,16256292,16489300,15966806,14301513,14524557,14467370,14472720
29779004,15883728,15764340,15269099,15318202,14619441,12886604,12721428,12532727,12368369
31636932,18265866,18160470,17870269,18219301,17947352,16588133,16732292,16630183,16481395
29597610,16605297,16489703,15907979,15870045,15186169,13431230,13111856,12863038,12630920
28695955,15613067,15484052,14744385,14657839,13959400,11921894,11666878,11416278,11208467
28002457,16427793,16307546,15578331,15543490,15019498,13005033,12706164,12385201,12195262
28439779,16909890,16792091,16048962,15905459,15295835,13800451,13606343,13415512,13209228
31649731,17971664,17844643,17221733,17350628,16898000,15454430,15639169,15362939,15154331
31720938,17874141,17763222,17211509,17199104,16529154,14667340,14418911,14159639,13865517
28938484,14833401,14711729,14131643,14178250,13516093,11669287,11568188,11289346,11086644
32573526,18955434,18847585,18564168,18856641,18329228,16481531,16691207,16610501,16596311
29367702,17117831,16978921,16078255,15848299,15059047,12957069,12548816,12166840,11902368
30492707,18541787,18433149,17839630,17858229,17300419,15575251,15327626,15125081,14885074
31820675,19375512,19251707,18544912,18488237,17781724,15776863,15591136,15348159,15115827
30811707,18744008,18651495,18414832,18680849,18335935,16832104,17022386,16971000,16927979
30977923,17722279,17605428,17052954,17166444,16489054,14414405,14170337,13974402,13766302
32365794,20072549,19976751,19659771,19855480,19500736,18155052,18281846,18307317,18282433
30911460,17339856,17223152,16752863,16847104,16308059,14839004,14804801,14631973,14481201
32961329,19451335,19347105,19162227,19523296,19274977,18073825,18361131,18376292,18332166
33169570,19065313,18949780,18616885,18901465,18468006,16875471,17090212,17005992,16898741
30775389,17708070,17602641,17070640,17114893,16607077,15154394,15184977,14938740,14746387
29615495,16662863,16557011,16092919,16191996,15748132,14393744,14476220,14377820,14290143
33130619,19596144,19481465,19076474,19235296,18754988,17576645,17729058,17648516,17501628
29322818,16320861,16205095,15707605,15763234,15216835,13837742,13793581,13672533,13487791
29640401,17152423,17031538,16331267,16282981,15639422,13969160,13817714,13647325,13450322
31853464,18071681,17952901,17344867,17309428,16667911,15163742,14956031,14791137,14560565
30278248,16878471,16762616,16306846,16409066,15895904,14487672,14421927,14213856,14013037
30055839,17294006,17187097,16870929,17178513,16986487,15699733,15875328,15836553,15823562
33063665,18756591,18659884,18596312,18962516,18521564,16991766,17303449,17313221,17319524
28328401,16155008,16034945,15347084,15312654,14704968,12915489,12559605,12280643,12027303
28222240,15299911,15193665,14729857,14811139,14321117,12912734,13067452,12896096,12746080
29200484,16505624,16385310,15732472,15718909,15174801,13471145,13292151,13039944,12857590
28002936,16165914,16047613,15363971,15250167,14684170,13080882,12805392,12503078,12311316
30143927,17929284,17809054,17106915,17027646,16296581,14092558,13710828,13395264,13132376
28811175,15658671,15531468,14833894,14779578,14071443,12021209,11751418,11463362,11285729
32582624,18981787,18870359,18502185,18734012,18324253,17061544,17091128,16934223,16787505
31244201,17886940,17770664,17344509,17517276,17106761,15408461,15424474,15307749,15192352
29435493,16331731,16218714,15649421,15691596,15216642,13736140,13656322,13519092,13347310
26708870,16199332,16092959,15331273,15181934,14714183,13348400,13065870,12809997,12624899
30293469,19013921,18912805,18305070,18214656,17660857,16214110,16122182,15899185,15718815
27456109,14827100,14689015,13762880,13550500,13002782,11763169,11785805,11481455,11276310
25314453,14359130,14246630,13448903,13305525,12923199,11842502,11760291,11489214,11294381
29826970,16757049,16617489,15814400,15685946,14938288,12975204,12672853,12380726,12125416
29573046,18017710,17879821,16944744,16776378,16182572,14345372,14011863,13700392,13450539
29710124,15000641,14874413,14315727,14368516,13754107,12092352,12121455,11817010,11635800
31666580,17534364,17407571,16798652,16891614,16315093,14499786,14580223,14304931,14093670
28971908,15335967,15202428,14532807,14569178,13985489,12012474,11745739,11490657,11250017
29165544,17179705,17052639,16339389,16273331,15663270,13734120,13295472,13028531,12832359
27926380,16131479,16010570,15227826,15089561,14540671,12968877,12678740,12366071,12113522
27556475,15016572,14899899,14172656,14120392,13578498,11939146,11852565,11580789,11390443
30203418,16661832,16534308,15893899,15872295,15195311,13286228,13073536,12721574,12472397
31938193,18640542,18499918,17720717,17604422,16784168,14646126,14321656,13914902,13632327
30889870,17240345,17113790,16548822,16574982,15836543,13797593,13554111,13199900,12931985
31353600,18463578,18337685,17747122,17788186,17168148,15315186,15041135,14738332,14439353
31386197,18380755,18247057,17571296,17587829,16874204,14682554,14379847,14004045,13716659
30813027,16731662,16597597,15926274,15904708,15154043,13058946,12812845,12386303,12138646
31187945,17509118,17370037,16646401,16650755,15911764,13649365,13408435,12984799,12704376
28051098,15991402,15865752,15151233,15125471,14622523,12673129,12365066,12053170,11827469
32025749,18759501,18648468,18397881,18829884,18560447,16536927,16887845,16792506,16835021
30778813,17378223,17235055,16475188,16385637,15579366,13290480,12991031,12650301,12347339
28608455,15837638,15709456,14957254,14890933,14303067,12453328,12293745,11962745,11729705
29241243,15301250,15174322,14532500,14541495,13872232,12002862,11988448,11700469,11509616
28049122,16294118,16165597,15255191,15053362,14428444,12707758,12400312,12097511,11867516
27631258,16184208,16069674,15288711,15117837,14512154,12682090,12293608,11935268,11698496
28391636,16029317,15907735,15121197,15005571,14380564,12499388,12237038,11901762,11691106
31065214,16959290,16826848,16236087,16338920,15648996,13420608,13160315,12837877,12547349
30908202,17854287,17728854,17054255,17016219,16279082,13941756,13444819,13075870,12764453
28547585,15459424,15336764,14744999,14784161,14149316,11891826,11620418,11283494,11008359
31624635,17712470,17586636,16981564,16958166,16169205,14164081,13883845,13550852,13270333
30743880,17714225,17599396,17072306,17111002,16558877,14923793,14733130,14535839,14292172
28779216,14994014,14868929,14277907,14307553,13717704,11967648,11825676,11609186,11410743
26419588,17281907,17156767,16149184,15767216,15107376,13580697,13084787,12817705,12584793
28700159,16635091,16490493,15507856,15319899,14670786,12697771,12351387,12039300,11778750
28663139,15765723,15633519,14835717,14750291,14145215,12684778,12583376,12404584,12248760
28036344,14493194,14376663,13894638,14080671,13597416,11719010,11601929,11396106,11234290
28018358,16429992,16314037,15602605,15625675,15226201,13496379,13289866,12982240,12768565
29478962,15470190,15353229,14891269,14977701,14385651,12607886,12543789,12281918,12070747
30227317,15650392,15516842,14959839,15049093,14361803,12508972,12503546,12249013,12023281
